generation,bestFitness,avgFitness,worstFitness,stdDev
0,0.040000,0.006800,0.000000,0.010284
1,0.060000,0.008300,0.000000,0.010682
2,0.080000,0.009900,0.000000,0.014456
3,0.070000,0.012200,0.000000,0.015400
4,0.050000,0.012100,0.000000,0.013289
5,0.070000,0.013600,0.000000,0.015525
6,0.070000,0.012300,0.000000,0.015547
7,0.170000,0.014100,0.000000,0.021730
8,0.100000,0.014900,0.000000,0.018628
9,0.120000,0.020200,0.000000,0.020247
10,0.130000,0.027500,0.000000,0.027106
11,0.270000,0.038300,0.000000,0.038937
12,0.120000,0.040000,0.000000,0.029120
13,0.140000,0.049700,0.000000,0.034798
14,0.170000,0.061000,0.000000,0.040755
15,0.180000,0.064700,0.010000,0.039483
16,0.230000,0.071900,0.000000,0.047638
17,0.240000,0.082900,0.000000,0.046718
18,0.200000,0.084300,0.010000,0.038190
19,0.260000,0.098000,0.010000,0.045011
20,0.240000,0.110800,0.030000,0.048450
21,0.300000,0.122100,0.040000,0.053034
22,0.270000,0.129500,0.030000,0.053017
23,0.280000,0.140800,0.040000,0.052167
24,0.270000,0.151600,0.020000,0.053080
25,0.310000,0.171500,0.050000,0.050207
26,0.330000,0.177200,0.070000,0.056198
27,0.310000,0.177000,0.070000,0.057158
28,0.350000,0.174000,0.050000,0.055154
29,0.280000,0.169700,0.070000,0.048651
30,0.340000,0.189100,0.060000,0.058738
31,0.320000,0.195000,0.080000,0.058523
32,0.340000,0.206300,0.080000,0.058560
33,0.400000,0.201000,0.080000,0.054599
34,0.340000,0.205200,0.080000,0.061180
35,0.370000,0.217600,0.100000,0.056958
36,0.370000,0.219000,0.070000,0.059439
37,0.400000,0.228400,0.100000,0.055798
38,0.340000,0.222300,0.110000,0.051398
39,0.390000,0.220700,0.100000,0.060947
40,0.380000,0.242700,0.130000,0.059914
41,0.380000,0.238500,0.070000,0.063943
42,0.380000,0.243300,0.130000,0.057377
43,0.380000,0.242900,0.130000,0.053652
44,0.430000,0.248500,0.110000,0.064674
45,0.420000,0.246300,0.110000,0.066658
46,0.410000,0.272700,0.120000,0.062143
47,0.450000,0.266400,0.140000,0.065261
48,0.500000,0.275800,0.130000,0.070359
49,0.420000,0.276800,0.120000,0.062014
50,0.430000,0.284900,0.150000,0.065551
51,0.460000,0.286900,0.090000,0.071703
52,0.450000,0.288300,0.140000,0.062850
53,0.530000,0.303500,0.120000,0.070205
54,0.500000,0.302800,0.190000,0.059583
55,0.550000,0.293500,0.110000,0.071349
56,0.510000,0.303800,0.160000,0.067672
57,0.480000,0.318600,0.140000,0.071638
58,0.510000,0.332200,0.170000,0.068419
59,0.490000,0.345600,0.160000,0.066111
60,0.510000,0.347100,0.210000,0.061438
61,0.620000,0.335200,0.180000,0.074572
62,0.520000,0.342600,0.170000,0.071072
63,0.560000,0.342900,0.200000,0.073638
64,0.560000,0.361300,0.170000,0.081445
65,0.560000,0.352300,0.210000,0.071734
66,0.660000,0.362200,0.180000,0.079769
67,0.510000,0.360300,0.180000,0.073518
68,0.550000,0.350200,0.230000,0.061919
69,0.640000,0.373000,0.230000,0.074505
70,0.570000,0.383900,0.190000,0.072220
71,0.550000,0.379200,0.200000,0.070380
72,0.580000,0.375900,0.240000,0.074727
73,0.610000,0.389400,0.200000,0.079747
74,0.580000,0.368000,0.180000,0.076315
75,0.570000,0.378900,0.210000,0.067571
76,0.580000,0.371000,0.210000,0.068198
77,0.590000,0.389900,0.240000,0.074317
78,0.590000,0.388300,0.250000,0.069196
79,0.610000,0.383700,0.170000,0.075122
80,0.580000,0.376400,0.180000,0.078632
81,0.610000,0.395400,0.220000,0.078082
82,0.580000,0.388600,0.230000,0.074203
83,0.570000,0.390700,0.190000,0.078259
84,0.580000,0.400800,0.220000,0.072093
85,0.600000,0.391100,0.170000,0.082534
86,0.630000,0.410200,0.240000,0.086197
87,0.570000,0.399400,0.220000,0.080397
88,0.610000,0.410400,0.230000,0.074147
89,0.640000,0.420000,0.250000,0.075512
90,0.610000,0.412500,0.260000,0.073012
91,0.620000,0.413300,0.220000,0.080088
92,0.580000,0.414100,0.260000,0.065819
93,0.590000,0.406300,0.250000,0.072425
94,0.600000,0.415000,0.220000,0.082323
95,0.610000,0.433300,0.270000,0.072223
96,0.640000,0.428800,0.260000,0.069113
97,0.640000,0.449700,0.260000,0.075716
98,0.580000,0.419100,0.290000,0.067677
99,0.610000,0.436000,0.270000,0.070612
